Species,trName,presentInGardnerTree,tip,position,node,distUp,justification,reference,notes,Higher_taxon,Region,Comments.corrections,deleteReason,sequenced_gall_inducers,comments_ar
Quercus_oxyodon,Quercus_oxyodon,x,,,,NA,,,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,n,delete
Quercus_pacifica,Quercus_pacifica,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_pagoda,Quercus_pagoda,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_palmeri,Quercus_palmeri,x,,,,NA,,,,Quercus_section_Protobalanus,Nearctic,,,y,retain
Quercus_palustris,Quercus_palustris,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_parvula,Quercus_parvula_var._shrevei,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_petraea,Quercus_petraea,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_phellos,Quercus_phellos,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_polymorpha,Quercus_polymorpha,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_pontica,Quercus_pontica,x,,,,NA,,,,Quercus_section_Ponticae,Western Palearctic,,,y,retain
Quercus_potosina,Quercus_potosina,,Quercus_potosina,sister to Q. obtusata,Quercus_obtusata,2,based on Hipp et al. 2020,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_prinoides,Quercus_prinoides,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_pubescens,Quercus_pubescens,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
